match_id,team,jersey_number,name,rating,played
1,home_team,25,W. Szczęsny,6.4,1
1,home_team,24,E. García,7.3,2
1,home_team,2,P. Cubarsí,6.4,2
1,home_team,5,I. Martínez,6.3,1
1,home_team,35,G. Martín,6.4,2
1,home_team,21,F. de Jong,7.1,1
1,home_team,8,Pedri,7.7,1
1,home_team,19,L. Yamal,9.1,1
1,home_team,20,D. Olmo,6.5,2
1,home_team,11,Raphinha,7.5,1
1,home_team,7,F. Torres,8.0,2
1,home_team,3,Alejandro Balde,6.6,3
1,home_team,15,Andreas Christensen,6.6,3
1,home_team,32,Hector Fort,6.7,3
1,home_team,16,Fermín López,6.5,3
1,home_team,6,Gavi,6.7,3
1,home_team,13,Iñaki Peña,N/A,0
1,home_team,1,Marc-André ter Stegen,N/A,0
1,home_team,4,Ronald Araújo,N/A,0
1,home_team,17,Marc Casadó,N/A,0
1,home_team,10,Ansu Fati,N/A,0
1,home_team,9,Robert Lewandowski,N/A,0
1,home_team,18,Pau Víctor,N/A,0
1,away_team,1,T. Courtois,6.6,1
1,away_team,17,L. Vázquez,5.9,2
1,away_team,14,A. Tchouaméni,6.8,1
1,away_team,35,R. Asencio,6.2,1
1,away_team,20,F. Garcia,6.4,1
1,away_team,19,D. Ceballos,5.4,2
1,away_team,8,F. Valverde,6.6,1
1,away_team,15,A. Güler,6.2,2
1,away_team,5,J. Bellingham,6.6,1
1,away_team,7,Vinícius Jr.,7.7,2
1,away_team,9,K. Mbappé,8.8,1
1,away_team,10,Luka Modrić,7.2,3
1,away_team,21,Brahim Díaz,6.8,3
1,away_team,16,Endrick,6.3,3
1,away_team,44,Victor Muñoz,6.1,3
1,away_team,13,Andriy Lunin,N/A,0
1,away_team,34,Sergio Mestre,N/A,0
1,away_team,18,Jesús Vallejo,N/A,0
1,away_team,31,Jacobo Ramón,N/A,0
1,away_team,29,Youssef Lekhedim,N/A,0
1,away_team,11,Rodrygo,N/A,0
2,home_team,25,W. Szczęsny,7.4,1
2,home_team,23,J. Koundé,8.3,1
2,home_team,2,P. Cubarsí,6.7,1
2,home_team,5,I. Martínez,7.0,1
2,home_team,35,G. Martín,6.8,2
2,home_team,21,F. de Jong,6.8,2
2,home_team,8,Pedri,7.8,2
2,home_team,19,L. Yamal,8.1,1
2,home_team,20,D. Olmo,7.1,2
2,home_team,11,Raphinha,7.9,1
2,home_team,7,F. Torres,8.0,2
2,home_team,16,Fermín López,6.7,3
2,home_team,4,Ronald Araújo,6.9,3
2,home_team,6,Gavi,6.8,3
2,home_team,24,Eric García,6.8,3
2,home_team,18,Pau Víctor,6.5,3
2,home_team,1,Marc-André ter Stegen,N/A,0
2,home_team,13,Iñaki Peña,N/A,0
2,home_team,15,Andreas Christensen,N/A,0
2,home_team,32,Hector Fort,N/A,0
2,home_team,14,Pablo Torre,N/A,0
2,home_team,10,Ansu Fati,N/A,0
2,away_team,1,T. Courtois,6.6,1
2,away_team,17,L. Vázquez,6.6,2
2,away_team,35,R. Asencio,6.2,1
2,away_team,22,A. Rüdiger,7.0,2
2,away_team,23,F. Mendy,6.5,2
2,away_team,8,F. Valverde,6.6,1
2,away_team,14,A. Tchouaméni,7.5,1
2,away_team,11,Rodrygo,6.5,2
2,away_team,5,J. Bellingham,7.7,1
2,away_team,19,D. Ceballos,6.6,2
2,away_team,7,Vinícius Jr.,7.2,2
2,away_team,20,Fran García,6.3,3
2,away_team,9,Kylian Mbappé,7.5,3
2,away_team,10,Luka Modrić,6.1,3
2,away_team,15,Arda Güler,7.2,3
2,away_team,21,Brahim Díaz,6.4,3
2,away_team,16,Endrick,6.4,3
2,away_team,13,Andriy Lunin,N/A,0
2,away_team,26,Fran Gonzalez,N/A,0
2,away_team,4,David Alaba,N/A,0
2,away_team,18,Jesús Vallejo,N/A,0
3,home_team,29,Coba da Costa,7.3,3
3,home_team,18,Álvaro Rodriguez,7.0,3
3,home_team,19,Peter González,6.3,3
3,home_team,28,Ismael Bekhoucha,6.5,3
3,home_team,24,Juanmi,6.4,3
3,home_team,1,Jiří Letáček,N/A,0
3,home_team,17,Carles Pérez,N/A,0
3,home_team,20,Yellu Santiago,N/A,0
3,home_team,7,Álex Sola,N/A,0
3,home_team,10,Bertuğ Yıldırım,N/A,0
3,away_team,6,Eduardo Camavinga,7.4,3
3,away_team,5,Jude Bellingham,6.5,3
3,away_team,11,Rodrygo,6.5,3
3,away_team,19,Dani Ceballos,6.6,3
3,away_team,26,Fran Gonzalez,N/A,0
3,away_team,13,Andriy Lunin,N/A,0
3,away_team,22,Antonio Rüdiger,N/A,0
3,away_team,18,Jesús Vallejo,N/A,0
3,away_team,10,Luka Modrić,N/A,0
3,away_team,30,Gonzalo García,N/A,0
4,home_team,1,T. Courtois,7.6,1
4,home_team,17,L. Vázquez,6.9,2
4,home_team,35,R. Asencio,6.3,2
4,home_team,22,A. Rüdiger,6.4,1
4,home_team,4,D. Alaba,6.6,2
4,home_team,8,F. Valverde,7.3,1
4,home_team,14,A. Tchouaméni,7.0,1
4,home_team,11,Rodrygo,7.1,2
4,home_team,5,J. Bellingham,6.7,1
4,home_team,7,Vinícius Jr.,8.0,1
4,home_team,9,K. Mbappé,7.1,2
4,home_team,20,Fran García,6.2,3
4,home_team,19,Dani Ceballos,6.9,3
4,home_team,16,Endrick,6.4,3
4,home_team,10,Luka Modrić,6.8,3
4,home_team,21,Brahim Díaz,6.7,3
4,home_team,26,Fran Gonzalez,N/A,0
4,home_team,34,Sergio Mestre,N/A,0
4,home_team,18,Jesús Vallejo,N/A,0
4,home_team,15,Arda Güler,N/A,0
4,away_team,19,Leandro Trossard,6.4,3
4,away_team,4,Ben White,-,3
