match_id,minute,type,primary,secondary,score
1,N/A,Additional Time,Additional time 6',,
1,N/A,Additional Time,Additional time 6',,
1,90'+7,VAR decision,Goal cancelled,F. López,
1,89',Substitution,Gavi,F. Torres,
1,88',Substitution,V. Muñoz,Vinícius Jr.,
1,87',Yellow card,Pedri,Foul,
1,84',Substitution,Endrick,L. Vázquez,
1,82',VAR decision,No penalty confirmed,F. Torres,
1,80',Yellow card,F. López,Foul,
1,77',Substitution,H. Fort,E. García,
1,77',Substitution,F. López,D. Olmo,
1,70',Goal,K. Mbappé,Vinícius Jr.,4 - 3
1,57',Substitution,A. Balde,G. Martín,
1,57',Substitution,A. Christensen,P. Cubarsí,
1,54',Yellow card,I. Martínez,Foul,
1,50',Yellow card,R. Asencio,Foul,
1,46',Substitution,L. Modrić,D. Ceballos,
1,46',Substitution,B. Díaz,A. Güler,
1,45',Goal,Raphinha,F. Torres,4 - 2
1,43',VAR decision,Penalty cancelled,K. Mbappé,
1,36',Yellow card,A. Tchouaméni,Foul,
1,34',Goal,Raphinha,Pedri,3 - 2
1,32',Goal,L. Yamal,F. Torres,2 - 2
1,29',Yellow card,F. Valverde,Foul,
1,19',Goal,E. García,F. Torres,1 - 2
1,14',Goal,K. Mbappé,Vinícius Jr.,0 - 2
1,5',Penalty,K. Mbappé,,0 - 1
1,-,Yellow card,R. Araújo,Argument,
1,FT,Score Update,FT 4 - 3,,4
1,HT,Score Update,HT 4 - 2,,4
2,N/A,Additional Time,Additional time 2',,
2,N/A,Additional Time,Additional time 6',,
2,N/A,Additional Time,Additional time 5',,
2,120'+4,Red card,J. Bellingham,Rescinded Card,
2,116',Goal,J. Koundé,,3 - 2
2,115',Substitution,P. Víctor,F. Torres,
2,111',Substitution,Endrick,A. Rüdiger,
2,107',Yellow card,J. Bellingham,Foul,
2,98',Substitution,E. García,Pedri,
2,90'+10,Yellow card,Raphinha,Simulation,
2,90'+8,VAR decision,Penalty cancelled,Raphinha,
2,90'+4,Yellow card,F. López,Foul,
