FinancialID,DateKey,Revenue,Operating_Expenses,COGS,Gross_Profit,EBITDA,Net_Income,ROI
1,20240101,3040.05,764.22,1285.07,1754.98,930.22,614.94,15.89
2,20240201,3301.25,922.19,1409.05,1892.2,1095.25,749.99,22.96
3,20240301,3319.46,835.82,1456.8,1862.67,1045.42,695.59,24.87
4,20240401,3336.81,863.57,1474.65,1862.16,1116.25,733.7,25.58
5,20240501,3807.68,996.43,1703.13,2104.56,1295.82,832.23,17.59
6,20240601,4186.44,1076.51,1828.74,2357.7,1330.69,844.14,24.05
7,20240701,4657.4,1307.19,2038.05,2619.35,1400.54,861.99,20.48
8,20240801,4575.71,1222.85,1886.31,2689.4,1590.21,1046.45,17.26
9,20240901,4013.29,1086.66,1656.63,2356.66,1250.61,816.72,20.31
10,20241001,3892.89,1047.82,1635.01,2257.87,1204.9,782.43,19.36
11,20241101,3679.55,1024.6,1567.17,2112.38,1143.37,771.17,21.65
12,20241201,3990.28,1077.22,1684.57,2305.71,1255.56,843.32,18.24
