HR_ID,DateKey,EmployeeID,Hours_Worked,Overtime_Hours,Absenteeism_Days,Productivity_Score,Training_Hours,Employee_Satisfaction_Score,Turnover_Risk_Score,Performance_Rating,Salary,Benefits_Cost,Efficiency_Ratio,Projects_Completed,Promotion_Eligibility,High_Potential
1,20240101,1326,155.19,0.0,1.1,87.42,28.63,88.88,0.0,3,214787,6487.33,1.11,2,1,0
2,20240101,1749,149.6,0.0,3.1,88.25,15.13,76.0,4.5,3,79930,2616.5,0.85,7,1,0
3,20240101,1494,181.2,0.0,0.9,96.37,25.45,84.76,4.5,5,257441,7534.17,0.96,8,0,0
4,20240101,1411,168.2,0.0,1.1,88.89,23.66,92.88,0.0,3,154994,3922.55,1.05,4,0,1
5,20240101,1443,153.47,0.0,1.9,81.97,18.82,88.02,2.42,3,81177,1902.89,1.08,1,1,1
6,20240101,1493,182.46,0.0,0.6,98.61,33.78,77.3,0.0,5,430093,13157.33,0.89,10,1,1
7,20240101,1752,160.45,18.93,1.1,95.14,26.01,82.41,0.0,5,216675,6093.44,0.94,5,1,0
8,20240101,1448,144.48,0.0,2.1,87.85,19.31,80.33,0.0,3,100844,2474.24,0.83,6,0,0
9,20240101,1378,148.01,0.0,2.8,83.88,7.5,76.46,0.9,3,46544,1369.38,0.95,3,1,1
10,20240101,1312,131.26,0.0,3.9,80.75,11.4,77.56,3.4,3,60960,2010.02,0.95,3,0,1
11,20240101,1476,162.36,0.0,1.2,95.33,25.43,79.73,0.0,5,197020,4866.66,1.0,4,0,1
12,20240101,1673,176.27,11.53,0.6,90.57,44.64,80.71,0.0,4,459855,11577.77,1.17,8,1,0
13,20240101,1731,153.22,0.0,2.8,86.15,18.04,78.85,0.0,3,80557,1695.8,0.9,8,1,1
14,20240101,1639,152.39,0.0,1.5,86.6,21.58,78.35,0.0,3,153649,3731.56,1.07,1,0,0
15,20240101,1334,150.02,0.0,1.5,86.54,23.69,93.94,0.0,3,114132,3180.27,0.97,2,1,0
16,20240101,1418,141.28,16.06,1.8,87.22,22.44,94.18,0.0,3,128888,3997.48,0.9,5,1,1
17,20240101,1747,175.23,7.69,1.5,93.15,28.85,83.42,0.0,4,196421,5651.93,1.04,2,0,1
18,20240101,1780,141.79,0.0,2.6,84.74,9.25,94.01,9.21,3,54860,1730.29,1.14,2,1,0
19,20240101,1488,166.58,0.0,1.3,88.03,27.03,88.21,0.0,3,312940,9765.1,1.12,8,0,0
20,20240101,1458,180.89,0.0,0.8,91.17,30.0,92.6,0.0,4,347717,9193.32,1.08,4,0,1
21,20240101,1310,136.28,0.0,1.4,92.69,22.98,81.83,0.0,4,124204,3001.48,0.96,7,1,0
22,20240101,1792,127.86,16.92,3.0,78.73,11.82,88.71,5.02,2,62466,1335.02,1.11,6,1,0
23,20240101,1465,176.76,0.0,1.3,86.31,23.46,75.11,9.0,3,125360,3871.85,0.81,8,1,1
24,20240101,1409,172.91,0.0,0.5,99.6,45.49,88.49,0.0,5,431548,10077.42,1.05,5,1,1
25,20240101,1456,145.47,0.0,2.8,85.72,9.36,90.5,0.0,3,77504,2185.02,0.84,10,1,1
26,20240101,1483,167.32,0.0,1.8,86.47,27.91,77.08,0.0,3,132780,2827.83,0.82,4,0,1
27,20240101,1786,128.32,0.0,3.5,78.75,7.48,77.12,5.0,2,74504,2102.58,0.99,1,1,0
28,20240101,1517,179.43,0.0,0.5,95.55,37.84,79.44,0.0,5,462717,11057.82,1.05,6,0,0
29,20240101,1737,132.11,0.0,2.7,87.0,15.47,77.11,0.0,3,68407,1739.17,0.81,7,0,0
30,20240101,1354,154.92,0.0,2.7,84.35,11.22,86.34,0.52,3,65686,1791.63,0.96,4,1,0
31,20240101,1795,150.43,0.0,1.6,92.22,23.11,86.95,9.0,4,104327,3435.82,1.11,5,1,1
32,20240101,1361,190.05,0.0,0.5,91.81,38.64,82.79,0.0,4,433980,9862.09,1.1,10,0,1
33,20240101,1337,176.63,0.0,0.4,92.19,45.43,79.53,0.0,4,339575,9346.64,0.93,2,1,1
34,20240101,1364,154.2,5.33,1.5,92.57,18.05,89.92,0.0,4,89647,2344.57,0.84,1,1,0
35,20240101,1470,173.84,0.0,0.9,94.41,30.22,93.29,0.0,4,277735,7345.8,0.8,2,0,0
36,20240101,1735,145.44,0.0,1.2,94.41,25.71,79.96,9.0,4,182442,3945.89,1.02,7,0,0
37,20240101,1379,170.43,16.04,0.5,98.75,44.25,81.04,0.0,5,337529,7304.11,0.86,3,1,0
38,20240101,1725,157.31,5.66,2.9,89.35,19.01,83.3,0.0,3,80187,2626.64,0.94,8,1,0
39,20240101,1638,163.57,0.0,1.3,89.01,29.12,79.16,0.0,3,324372,8127.42,1.2,7,1,1
