LogisticsID,DateKey,WarehouseID,RegionID,SupplierID,Transport_Cost,Lead_Time_Days,Delivery_Time_Accuracy,OnTime_Delivery_Rate,ShippingMethod,Distance_Km,Fuel_Cost,Shipment_Weight_Kg,Transport_Mode,Actual_OnTime,Cost_Per_Km,Cost_Efficiency,Speed,Urgent_Shipment,International,Delivery_Variance,Late_Delivery
362,20240101,5067,3028,,26225.37,6,88.25,86.62,Sea Freight,2808,9690.12,8077.9,Ship,0,9.34,0.1071,19.5,0,1,11.75,1
318,20240102,5016,3216,,32360.11,6,87.97,85.15,Sea Freight,2557,7588.38,11407.47,Ship,1,12.66,0.079,17.76,0,1,12.03,0
618,20240102,5022,3288,,55492.03,2,92.35,92.32,International Air,2672,12859.67,9090.58,Air,1,20.77,0.0482,55.67,1,1,7.65,0
736,20240102,5036,3222,,15375.99,6,88.68,92.85,Sea Freight,2113,4364.47,6105.23,Ship,1,7.28,0.1374,14.67,0,1,11.32,0
255,20240102,5082,3293,7080.0,17853.81,2,93.41,95.28,Standard Ground,2762,6675.06,3496.7,Truck,1,6.46,0.1547,57.54,0,0,6.59,0
422,20240102,5085,3253,7083.0,14008.05,2,92.46,90.99,Expedited,2144,5044.32,3547.39,Truck,1,6.53,0.1531,44.67,0,0,7.54,0
8,20240102,5099,3138,,11015.92,3,94.55,93.72,Standard Ground,2846,2216.7,2342.22,Rail,1,3.87,0.2584,39.53,0,0,5.45,0
162,20240103,5002,3193,7132.0,48239.93,2,95.25,96.81,International Air,2640,18464.3,7156.11,Air,1,18.27,0.0547,55.0,1,1,4.75,0
423,20240103,5011,3079,7053.0,45398.91,6,89.29,88.88,Sea Freight,2625,18117.81,15985.54,Ship,1,17.29,0.0578,18.23,0,1,10.71,0
891,20240103,5045,3281,7028.0,25156.09,3,94.8,99.25,Standard Ground,2690,8377.5,7275.01,Intermodal,0,9.35,0.1069,37.36,0,0,5.2,1
918,20240104,5005,3122,,21267.47,6,88.58,89.42,Sea Freight,2426,4340.95,7500.6,Ship,1,8.77,0.1141,16.85,0,1,11.42,0
100,20240104,5012,3113,,54436.46,6,91.36,94.84,Sea Freight,2276,12931.27,22642.78,Ship,1,23.92,0.0418,15.81,0,1,8.64,0
136,20240104,5053,3042,,26400.2,7,88.23,89.48,Sea Freight,2802,5664.48,8171.74,Ship,1,9.42,0.1061,16.68,0,1,11.77,0
805,20240104,5082,3068,,25663.86,3,94.48,89.84,Standard Ground,2534,6441.8,8564.83,Rail,1,10.13,0.0987,35.19,0,0,5.52,0
60,20240104,5090,3154,,15267.71,4,95.98,96.62,Standard Ground,2853,5969.33,3924.82,Rail,1,5.35,0.1869,29.72,0,0,4.02,0
442,20240105,5013,3296,7077.0,36963.52,6,88.3,91.54,Sea Freight,2320,12422.9,14586.24,Ship,1,15.93,0.0628,16.11,0,1,11.7,0
727,20240105,5065,3058,,39373.15,2,95.25,97.98,Expedited,2807,13962.48,5150.91,Air,1,14.03,0.0713,58.48,0,0,4.75,0
661,20240105,5093,3077,,18124.83,3,95.46,98.61,Standard Ground,2943,5546.95,4681.3,Rail,1,6.16,0.1624,40.88,0,0,4.54,0
808,20240106,5040,3274,,11787.18,6,88.21,86.09,Sea Freight,2249,3654.18,4045.7,Ship,1,5.24,0.1908,15.62,0,1,11.79,0
553,20240106,5051,3211,,30294.64,1,96.17,98.95,Expedited,1945,6459.4,6778.44,Air,1,15.58,0.0642,81.04,0,0,3.83,0
253,20240106,5081,3126,7174.0,23346.7,3,94.97,95.79,Standard Ground,2350,7273.2,7904.22,Intermodal,1,9.93,0.1007,32.64,0,0,5.03,0
28,20240106,5094,3240,,12218.5,2,92.93,91.79,Standard Ground,2653,2961.35,2474.87,Intermodal,1,4.61,0.2171,55.27,0,0,7.07,0
44,20240107,5063,3276,,27548.12,3,95.43,94.91,Standard Ground,2337,10615.2,9679.2,Intermodal,1,11.79,0.0848,32.46,0,0,4.57,0
343,20240107,5095,3279,,7545.83,2,92.58,95.83,Standard Ground,2020,2760.83,834.11,Truck,1,3.74,0.2677,42.08,0,0,7.42,0
277,20240107,5099,3042,7164.0,16879.48,7,88.28,87.13,Sea Freight,2903,3616.72,4601.6,Ship,1,5.81,0.172,17.28,0,1,11.72,0
178,20240108,5087,3284,7194.0,4417.15,2,95.35,90.89,Standard Ground,2020,973.74,664.02,Rail,1,2.19,0.4573,42.08,0,0,4.65,0
984,20240110,5021,3179,,55246.29,3,94.88,94.88,International Air,2761,20739.23,8441.58,Air,1,20.01,0.05,38.35,1,1,5.12,0
295,20240110,5093,3097,,9157.24,3,94.03,90.6,Standard Ground,2186,3445.71,2069.41,Intermodal,1,4.19,0.2387,30.36,0,0,5.97,0
195,20240111,5035,3093,,43833.12,3,94.95,95.95,International Air,2700,10363.09,4855.12,Air,1,16.23,0.0616,37.5,1,1,5.05,0
347,20240112,5070,3118,,13484.04,2,93.82,91.23,Standard Ground,2376,3531.44,2709.12,Truck,1,5.68,0.1762,49.5,0,0,6.18,0
966,20240112,5083,3296,7025.0,11951.1,2,93.07,94.24,Standard Ground,2631,3560.06,1766.82,Truck,1,4.54,0.2201,54.81,0,0,6.93,0
98,20240113,5002,3085,7089.0,46704.45,8,87.88,87.8,Sea Freight,2911,14614.58,14848.92,Ship,1,16.04,0.0623,15.16,0,1,12.12,0
132,20240113,5013,3287,7122.0,13039.1,7,88.37,91.71,Sea Freight,2020,3051.35,5048.6,Ship,1,6.46,0.1549,12.02,0,1,11.63,0
175,20240113,5015,3180,7030.0,62548.07,6,89.67,89.46,Sea Freight,2606,14996.05,22698.13,Ship,1,24.0,0.0417,18.1,0,1,10.33,0
958,20240113,5093,3218,,11550.39,2,93.94,91.65,Standard Ground,2748,3477.13,1322.35,Truck,1,4.2,0.2379,57.25,0,0,6.06,0
935,20240114,5038,3178,7039.0,16540.56,7,88.94,85.71,Sea Freight,2684,5502.91,4968.93,Ship,1,6.16,0.1623,15.98,0,1,11.06,0
433,20240114,5044,3090,,14745.69,6,88.63,86.73,Sea Freight,2187,3933.3,5427.41,Ship,1,6.74,0.1483,15.19,0,1,11.37,0
420,20240114,5065,3074,,20792.75,2,93.62,89.42,Standard Ground,2349,6325.94,6741.72,Intermodal,1,8.85,0.113,48.94,0,0,6.38,0
401,20240115,5012,3074,,16152.15,6,88.92,87.53,Sea Freight,2259,5509.74,5852.67,Ship,1,7.15,0.1399,15.69,0,1,11.08,0
74,20240115,5056,3145,,25464.06,2,94.23,96.15,Standard Ground,2176,8486.35,8807.36,Truck,1,11.7,0.0855,45.33,0,0,5.77,0
485,20240115,5078,3265,7104.0,19794.2,1,95.71,97.64,Expedited,1933,7397.1,1617.74,Air,1,10.24,0.0977,80.54,0,0,4.29,0
71,20240115,5086,3202,,19432.77,2,94.24,90.15,Standard Ground,2707,3891.25,4319.75,Truck,1,7.18,0.1393,56.4,0,0,5.76,0
154,20240115,5094,3145,7137.0,9503.88,3,94.28,98.4,Standard Ground,2684,2720.84,1466.77,Intermodal,1,3.54,0.2824,37.28,0,0,5.72,0
47,20240116,5028,3040,7146.0,28941.76,6,89.33,88.79,Sea Freight,2771,9069.33,9228.49,Ship,0,10.44,0.0957,19.24,0,1,10.67,1
278,20240116,5039,3063,7111.0,27714.56,3,95.03,98.85,International Air,2209,9044.44,1010.6,Air,1,12.55,0.0797,30.68,1,1,4.97,0
57,20240116,5084,3266,7068.0,9520.98,3,94.25,98.53,Standard Ground,2466,3362.38,2437.76,Rail,1,3.86,0.259,34.25,0,0,5.75,0
819,20240116,5087,3245,7009.0,15412.96,2,93.6,95.05,Standard Ground,2346,3106.57,3718.07,Truck,1,6.57,0.1522,48.88,0,0,6.4,0
473,20240116,5093,3239,7033.0,16354.29,2,94.47,95.25,Standard Ground,2133,5094.82,4822.23,Truck,1,7.67,0.1304,44.44,0,0,5.53,0
757,20240117,5005,3176,,67685.27,2,93.71,96.99,International Air,2758,20700.99,13448.25,Air,1,24.54,0.0407,57.46,1,1,6.29,0
732,20240117,5057,3078,,32623.73,2,96.7,98.27,Expedited,2608,9573.23,3134.27,Air,1,12.51,0.0799,54.33,0,0,3.3,0
292,20240117,5069,3037,7129.0,21774.95,6,87.22,85.03,Sea Freight,2219,6666.27,8541.39,Ship,1,9.81,0.1019,15.41,0,1,12.78,0
803,20240117,5071,3002,7163.0,20611.07,6,88.93,85.06,Sea Freight,2181,6472.08,8115.68,Ship,1,9.45,0.1058,15.15,0,1,11.07,0
203,20240118,5003,3144,,28885.45,6,87.77,87.79,Sea Freight,2517,11318.54,10250.11,Ship,0,11.48,0.0871,17.48,0,1,12.23,1
403,20240118,5028,3253,,11389.71,6,90.26,93.36,Sea Freight,2506,4375.73,3338.14,Ship,1,4.54,0.22,17.4,0,1,9.74,0
772,20240118,5029,3224,,8499.24,7,89.44,85.27,Sea Freight,2301,2760.47,2427.93,Ship,1,3.69,0.2707,13.7,0,1,10.56,0
626,20240120,5047,3298,7082.0,25559.32,2,94.05,94.42,Standard Ground,2324,6172.45,8820.0,Intermodal,1,11.0,0.0909,48.42,0,0,5.95,0
152,20240120,5081,3069,7044.0,29888.02,2,94.67,95.9,Standard Ground,2386,8213.65,9744.17,Truck,1,12.53,0.0798,49.71,0,0,5.33,0
723,20240121,5008,3075,7162.0,24977.62,6,90.93,94.69,Sea Freight,2204,7918.81,10086.97,Ship,1,11.33,0.0882,15.31,0,1,9.07,0
176,20240121,5022,3070,,23780.84,6,90.21,92.12,Sea Freight,2285,8305.12,9178.79,Ship,1,10.41,0.0961,15.87,0,1,9.79,0
584,20240121,5037,3193,7009.0,24278.42,6,89.74,88.41,Sea Freight,2329,8391.32,9141.55,Ship,1,10.42,0.0959,16.17,0,1,10.26,0
467,20240121,5055,3254,7041.0,16021.36,3,93.43,92.0,Standard Ground,2341,3262.22,4047.85,Truck,1,6.84,0.1461,32.51,0,0,6.57,0
923,20240122,5088,3157,,7243.73,2,96.27,99.71,Standard Ground,2331,1714.32,1747.01,Rail,1,3.11,0.3218,48.56,0,0,3.73,0
986,20240123,5016,3202,,22093.97,7,88.78,85.82,Sea Freight,2379,6189.14,8015.49,Ship,1,9.29,0.1077,14.16,0,1,11.22,0
698,20240123,5032,3056,7045.0,19446.42,7,88.74,91.69,Sea Freight,2307,6726.68,7217.88,Ship,1,8.43,0.1186,13.73,0,1,11.26,0
709,20240123,5053,3178,,28115.8,2,94.3,95.44,Standard Ground,2230,6167.01,9739.94,Truck,1,12.61,0.0793,46.46,0,0,5.7,0
965,20240124,5025,3123,,7743.8,6,89.96,91.91,Sea Freight,2694,1595.91,1694.87,Ship,1,2.87,0.3479,18.71,0,1,10.04,0
848,20240124,5040,3041,,9667.67,6,88.32,92.31,Sea Freight,2641,3286.29,2383.1,Ship,1,3.66,0.2732,18.34,0,1,11.68,0
927,20240124,5046,3226,,19290.32,2,97.16,99.9,Standard Ground,2362,4874.62,6644.27,Rail,1,8.17,0.1224,49.21,0,0,2.84,0
682,20240124,5061,3016,,53726.04,2,93.86,94.68,International Air,2734,11783.31,8320.35,Air,1,19.65,0.0509,56.96,1,1,6.14,0
2,20240125,5007,3108,7138.0,31162.41,7,88.63,90.25,Sea Freight,2720,10082.25,10254.25,Ship,1,11.46,0.0873,16.19,0,1,11.37,0
842,20240125,5031,3230,,36955.48,3,93.88,89.72,International Air,2377,10589.48,3788.29,Air,1,15.55,0.0643,33.01,1,1,6.12,0
969,20240125,5076,3201,7047.0,16846.75,4,97.07,99.34,Standard Ground,2829,6605.99,4529.25,Rail,1,5.96,0.1679,29.47,0,0,2.93,0
680,20240126,5003,3235,,19842.69,7,89.14,84.9,Sea Freight,2521,5037.38,6611.81,Ship,1,7.87,0.127,15.01,0,1,10.86,0
444,20240126,5042,3110,,9927.83,6,87.88,89.72,Sea Freight,2825,3043.12,2330.6,Ship,1,3.51,0.2846,19.62,0,1,12.12,0
127,20240127,5020,3192,,51458.09,7,90.2,94.46,Sea Freight,2003,17009.67,24511.5,Ship,0,25.69,0.0389,11.92,0,1,9.8,1
859,20240127,5058,3137,7128.0,23362.28,4,95.6,95.25,Standard Ground,2430,7034.97,8249.96,Rail,1,9.61,0.104,25.31,0,0,4.4,0
464,20240127,5073,3195,,17591.09,2,93.7,89.72,Standard Ground,2250,5791.85,5065.58,Truck,1,7.82,0.1279,46.88,0,0,6.3,0
25,20240128,5043,3300,,22972.04,7,89.85,89.9,Sea Freight,2117,8704.69,9559.93,Ship,0,10.85,0.0922,12.6,0,1,10.15,1
258,20240128,5088,3082,,19071.27,4,95.75,94.78,Standard Ground,2858,5359.73,4573.53,Intermodal,0,6.67,0.1499,29.77,0,0,4.25,1
586,20240128,5097,3154,7170.0,33504.63,1,97.05,100.0,Expedited,2482,8338.56,4211.18,Air,1,13.5,0.0741,103.42,0,0,2.95,0
604,20240129,5025,3071,7160.0,29784.68,6,88.89,92.4,Sea Freight,2711,6862.81,9794.66,Ship,1,10.99,0.091,18.83,0,1,11.11,0
335,20240129,5049,3296,,18171.28,3,92.51,92.48,Standard Ground,2359,5022.89,4690.56,Truck,1,7.7,0.1298,32.76,0,0,7.49,0
321,20240129,5064,3181,7044.0,15156.48,3,95.62,94.95,Standard Ground,2833,3806.58,3956.3,Rail,1,5.35,0.1869,39.35,0,0,4.38,0
217,20240131,5004,3295,,58117.05,6,89.29,90.38,Sea Freight,2286,15880.59,24209.06,Ship,1,25.42,0.0393,15.88,0,1,10.71,0
