MarketingID,DateKey,CampaignID,RegionID,ProductID,Spend,Engagement_Rate,Reach,Impressions,Clicks,Conversions,CTR,Conversion_Rate,Sentiment_Score,Brand_Awareness,ROI,CPM,CPC,CPA,Campaign_Type,Cost_Per_Engagement,Engagement_Per_Impression,ROI_Category,Efficiency_Score
36,20240101,8005,3040,1124,4849.65,5.44,132473,836833,25523,382,3.05,1.5,69.14,3.0,764.13,5.8,0.19,12.7,New Product Launch,0.11,0.0544,Very High,54.46
576,20240101,8039,3073,1141,8494.16,5.05,495371,1541747,35306,812,2.29,2.3,70.98,2.51,1246.47,5.51,0.24,10.46,Product Launch,0.11,0.0505,,67.85
912,20240101,8042,3275,1026,20336.76,3.44,432579,1823699,50698,283,2.78,0.56,81.03,0.6,-4.17,11.15,0.4,71.86,Seasonal,0.32,0.0344,Negative,11.28
310,20240101,8061,3055,1040,4250.5,3.62,153783,875691,19265,240,2.2,1.25,83.44,2.83,701.59,4.85,0.22,17.71,Product Launch,0.13,0.0362,Very High,47.11
523,20240101,8095,3254,1084,22238.98,3.22,750253,2173466,66725,767,3.07,1.15,82.11,2.8,141.35,10.23,0.33,28.99,Brand Awareness,0.32,0.0322,Medium,28.32
683,20240103,8021,3300,1189,13240.72,2.55,254944,1129559,31401,706,2.78,2.25,73.85,1.5,304.63,11.72,0.42,18.75,Brand Awareness,0.46,0.0255,High,39.38
545,20240103,8076,3122,1142,5075.63,3.91,496465,1584502,12834,288,0.81,2.25,70.54,2.44,797.73,3.2,0.4,17.62,Brand Awareness,0.08,0.0391,Very High,40.03
220,20240104,8039,3051,1016,4116.09,3.84,127036,741613,24176,302,3.26,1.25,91.02,0.6,464.29,5.55,0.17,13.63,Brand Awareness,0.14,0.0384,High,66.78
765,20240104,8042,3142,1168,2610.28,4.93,261531,854891,24193,89,2.83,0.37,86.61,1.28,320.12,3.05,0.11,29.33,Brand Awareness,0.06,0.0493,High,29.53
364,20240105,8008,3198,1067,9082.38,4.34,213999,815095,11166,53,1.37,0.48,73.47,3.25,-4.11,11.14,0.81,171.37,Digital,0.26,0.0434,Negative,4.29
804,20240105,8010,3171,1133,20168.13,2.47,434085,1835243,53405,1281,2.91,2.4,79.15,3.37,905.76,10.99,0.38,15.74,Brand Awareness,0.44,0.0247,Very High,50.27
