ProductionID,DateKey,PlantID,ProductID,Produced_Quantity,Production_Cost,Material_Cost,Labor_Cost,Energy_Cost,Downtime_Hours,Efficiency_Rate,Quality_Defect_Rate,Capacity_Utilization,Shift,Cost_Per_Unit,OEE,Downtime_Cost
222,20240101,6002,1150,9959,17342.5,14393.17,2449.16,500.17,0.0,97.21,0.48,73.38,Morning,1.7414,41.96,0.0
339,20240101,6044,1097,6860,6538.72,4305.14,1879.49,354.09,0.0,83.86,0.28,57.2,Morning,0.9532,44.98,0.0
869,20240101,6048,1028,7176,6518.15,3252.93,2206.7,1058.52,0.0,91.99,0.1,51.38,Afternoon,0.9083,62.36,0.0
758,20240102,6049,1147,5653,10389.19,8092.64,1681.36,615.18,0.0,85.99,0.46,53.8,Morning,1.8378,43.27,0.0
647,20240102,6063,1172,4132,5839.94,4146.52,1272.95,420.47,0.0,83.08,0.37,53.99,Afternoon,1.4133,39.64,0.0
721,20240103,6055,1123,6079,7170.27,5101.21,1598.67,470.39,0.0,85.73,0.29,59.3,Afternoon,1.1795,42.78,0.0
313,20240104,6010,1032,15938,10271.29,6945.5,2527.2,798.59,0.0,88.09,0.09,61.29,Morning,0.6445,82.41,0.0
454,20240104,6021,1154,4514,8108.38,6481.94,1250.69,375.74,0.0,90.65,0.5,56.59,Afternoon,1.7963,41.33,0.0
333,20240104,6027,1013,11025,7915.83,4772.66,2307.39,835.78,0.0,91.78,0.1,58.08,Afternoon,0.718,69.66,0.0
488,20240104,6060,1030,10980,8936.75,4804.7,3017.09,1114.95,0.0,89.17,0.1,56.35,Night,0.8139,92.66,0.0
783,20240105,6010,1009,14032,11246.39,6553.73,3011.68,1680.98,0.0,90.87,0.09,67.87,Morning,0.8015,72.55,0.0
29,20240105,6073,1077,7838,6320.22,2247.35,3108.22,964.65,0.0,86.48,0.05,50.71,Afternoon,0.8064,95.14,0.0
447,20240107,6026,1037,9005,7097.56,4114.51,1933.18,1049.86,0.0,87.28,0.09,59.33,Morning,0.7882,62.29,0.0
848,20240107,6050,1077,11361,7889.17,3497.8,3512.85,878.52,0.0,87.73,0.05,52.38,Night,0.6944,91.22,0.0
994,20240107,6055,1167,8283,11459.82,8322.21,2287.15,850.46,0.0,85.88,0.39,69.9,Night,1.3835,58.29,0.0
276,20240107,6086,1113,4419,7522.83,5393.88,1490.67,638.27,0.0,87.64,0.38,57.46,Morning,1.7024,41.78,0.0
984,20240107,6087,1125,4599,5551.68,3533.43,1479.07,539.17,0.0,81.16,0.3,55.54,Afternoon,1.2071,65.75,0.0
383,20240107,6087,1164,3913,5362.66,3835.77,1272.31,254.58,0.0,83.06,0.39,49.91,Afternoon,1.3705,55.94,0.0
468,20240108,6049,1174,7395,10884.72,7672.9,2303.76,908.06,0.0,84.85,0.39,50.13,Afternoon,1.4719,56.6,0.0
832,20240109,6027,1088,7416,6861.03,4656.41,1637.02,567.6,0.0,85.85,0.29,47.33,Afternoon,0.9252,46.85,0.0
93,20240109,6047,1191,5539,5133.98,2803.55,1931.65,398.77,0.0,85.71,0.57,61.63,Afternoon,0.9269,50.72,0.0
948,20240109,6070,1150,3804,6732.6,5102.85,1432.66,197.1,0.0,85.13,0.46,54.18,Morning,1.7699,59.24,0.0
678,20240109,6073,1143,3147,6153.97,4578.32,1184.72,390.94,0.0,83.5,0.48,41.32,Night,1.9555,38.2,0.0
707,20240110,6007,1037,13697,10322.54,6420.45,2847.25,1054.84,0.0,93.58,0.09,53.7,Night,0.7536,48.58,0.0
459,20240110,6018,1089,12757,11674.69,7980.17,2695.42,999.1,0.0,86.95,0.27,54.45,Night,0.9152,64.47,0.0
258,20240110,6038,1074,9805,6081.73,2872.7,2563.67,645.36,1.5,85.82,0.06,45.14,Night,0.6203,93.14,750.0
71,20240110,6049,1141,4244,7963.73,6216.03,1231.17,516.53,0.0,84.07,0.46,47.64,Afternoon,1.8765,32.48,0.0
901,20240110,6095,1003,5820,5257.95,2701.66,2043.54,512.75,0.0,88.09,0.1,46.31,Night,0.9034,61.67,0.0
978,20240111,6024,1161,7891,10631.36,7949.43,1920.18,761.75,0.0,86.76,0.38,62.0,Morning,1.3473,56.15,0.0
692,20240111,6026,1041,6122,7498.11,5571.68,1556.92,369.5,0.0,86.1,0.2,53.92,Afternoon,1.2248,42.35,0.0
403,20240111,6070,1138,4198,5099.94,3234.41,1511.42,354.11,0.0,87.05,0.28,54.05,Afternoon,1.2148,65.38,0.0
372,20240111,6079,1122,5057,6421.84,3982.77,1702.9,736.17,0.0,87.96,0.3,52.31,Afternoon,1.2699,53.62,0.0
256,20240112,6024,1056,5668,6802.51,4936.47,1397.59,468.46,2.7,86.15,0.27,53.68,Morning,1.2002,45.44,1350.0
786,20240112,6031,1066,15081,11139.18,4660.91,4293.2,2185.07,0.0,86.2,0.05,68.05,Morning,0.7386,100.0,0.0
623,20240112,6031,1174,6534,8627.56,6398.74,1393.33,835.49,0.0,84.07,0.37,46.53,Night,1.3204,43.33,0.0
942,20240112,6079,1164,5042,7355.65,4959.91,1676.94,718.81,1.7,89.19,0.47,60.59,Afternoon,1.4589,57.53,850.0
748,20240112,6087,1003,5900,5566.09,2657.73,2249.23,659.13,0.0,86.56,0.09,52.54,Night,0.9434,84.35,0.0
279,20240112,6098,1058,4294,5797.3,3839.23,1448.64,509.43,0.0,83.64,0.18,57.47,Morning,1.3501,48.56,0.0
620,20240113,6059,1111,6144,10142.91,7698.04,1620.88,823.99,0.0,89.36,0.37,57.91,Afternoon,1.6509,37.1,0.0
202,20240113,6062,1097,5242,5570.27,3293.37,1975.47,301.42,0.0,81.75,0.28,48.0,Afternoon,1.0626,43.97,0.0
538,20240113,6083,1096,4749,4730.64,2820.51,1473.35,436.78,4.9,81.67,0.41,48.01,Morning,0.9961,70.94,2450.0
939,20240114,6013,1099,13977,12155.97,8736.71,2509.34,909.92,0.0,93.66,0.27,66.64,Morning,0.8697,98.9,0.0
119,20240114,6031,1065,10965,7198.81,3297.78,2540.95,1360.07,0.0,86.15,0.05,52.07,Afternoon,0.6565,72.71,0.0
206,20240115,6063,1019,6097,5252.48,2812.91,1909.56,530.01,0.0,87.15,0.09,58.79,Afternoon,0.8615,58.48,0.0
937,20240115,6074,1127,4191,5173.5,3358.09,1266.43,548.98,0.0,80.77,0.28,47.06,Morning,1.2344,44.38,0.0
319,20240116,6036,1001,6963,5373.89,3283.12,1665.38,425.39,0.0,88.21,0.09,48.6,Night,0.7718,59.34,0.0
443,20240116,6084,1055,5214,6786.41,4515.27,1937.22,333.91,5.9,85.81,0.26,61.84,Afternoon,1.3016,80.67,2950.0
438,20240116,6098,1179,5258,7619.92,5342.05,1710.55,567.33,0.0,84.37,0.37,53.14,Morning,1.4492,59.46,0.0
57,20240116,6100,1117,4060,6329.22,4732.75,1302.58,293.89,0.0,88.23,0.39,50.28,Morning,1.5589,34.57,0.0
922,20240117,6015,1103,9264,13581.9,11499.77,1542.57,539.56,0.0,91.96,0.38,61.97,Afternoon,1.4661,52.43,0.0
529,20240117,6018,1114,10653,15807.07,12807.7,2171.03,828.35,0.0,91.15,0.37,64.63,Night,1.4838,53.84,0.0
344,20240117,6044,1119,5836,9515.77,7063.25,1711.76,740.76,0.0,85.58,0.38,52.19,Morning,1.6305,38.26,0.0
790,20240117,6063,1015,5484,5337.74,2525.57,2184.7,627.47,0.0,86.68,0.09,53.9,Night,0.9733,52.6,0.0
891,20240119,6065,1157,3708,6508.03,5129.05,1183.52,195.47,0.0,87.57,0.48,59.91,Morning,1.7551,34.63,0.0
22,20240119,6094,1008,5694,4704.13,2457.42,1944.55,302.16,0.0,85.01,0.1,60.22,Morning,0.8262,68.41,0.0
269,20240119,6097,1061,8864,7082.01,2559.14,3398.58,1124.29,0.0,86.82,0.05,56.76,Afternoon,0.799,80.22,0.0
193,20240120,6061,1028,4523,4047.52,2040.06,1761.78,245.68,0.0,88.24,0.09,47.51,Night,0.8949,89.67,0.0
243,20240120,6063,1039,5345,4862.61,2524.87,1785.43,552.3,0.0,86.62,0.09,50.74,Night,0.9097,51.27,0.0
601,20240120,6085,1116,4834,7912.07,5738.06,1558.25,615.76,0.0,82.82,0.38,55.56,Morning,1.6368,56.27,0.0
278,20240120,6088,1086,4934,5046.9,3079.52,1487.97,479.41,0.0,88.91,0.29,45.61,Night,1.0229,52.34,0.0
271,20240121,6057,1187,3996,3489.67,2005.84,1056.37,427.47,0.0,88.42,0.57,49.29,Morning,0.8733,28.76,0.0
260,20240121,6069,1144,4059,6938.16,5431.77,1255.32,251.07,0.0,88.34,0.45,56.84,Morning,1.7093,46.66,0.0
121,20240121,6072,1112,3299,5492.21,3913.42,1091.19,487.6,4.9,83.36,0.49,43.56,Night,1.6648,42.6,2450.0
301,20240121,6083,1085,4985,5205.68,2958.88,1717.33,529.47,0.0,83.8,0.29,47.57,Afternoon,1.0443,59.26,0.0
688,20240121,6096,1175,5252,7618.56,5009.79,2098.41,510.36,0.0,87.39,0.39,59.08,Afternoon,1.4506,56.94,0.0
346,20240122,6002,1008,13177,10144.33,6066.98,2414.58,1662.77,1.8,97.69,0.11,56.55,Night,0.7699,60.02,900.0
737,20240122,6043,1007,10778,9398.78,4973.91,3077.72,1347.14,0.0,91.95,0.1,62.85,Afternoon,0.872,65.75,0.0
552,20240122,6043,1166,7872,11439.12,8217.04,2291.33,930.75,0.0,92.24,0.4,63.06,Afternoon,1.4531,48.02,0.0
312,20240122,6085,1080,8018,5564.73,2427.41,2706.76,430.56,0.0,85.19,0.05,53.91,Morning,0.694,93.33,0.0
664,20240122,6086,1108,3659,5958.96,4330.8,1196.02,432.14,0.0,84.04,0.4,49.41,Afternoon,1.6286,34.59,0.0
87,20240122,6088,1138,5460,7348.64,4417.26,2155.9,775.48,0.0,80.8,0.29,62.05,Morning,1.3459,57.92,0.0
938,20240123,6018,1059,8542,10593.1,7887.16,2128.74,577.2,0.0,86.76,0.18,52.19,Afternoon,1.2401,43.17,0.0
980,20240123,6028,1182,3933,3089.51,1892.31,935.78,261.42,0.0,88.81,0.56,54.62,Morning,0.7855,32.5,0.0
30,20240123,6049,1158,6205,11737.31,9099.28,2009.54,628.49,0.0,89.78,0.49,67.29,Morning,1.8916,47.49,0.0
498,20240123,6067,1182,2110,1967.73,1083.21,732.32,152.2,2.7,82.07,0.78,39.99,Night,0.9326,26.9,1350.0
532,20240123,6090,1041,4200,5753.21,3917.03,1278.72,557.46,0.0,84.21,0.18,51.9,Night,1.3698,51.23,0.0
896,20240124,6051,1172,10171,14131.72,10175.04,3345.44,611.24,0.0,90.98,0.39,63.4,Morning,1.3894,100.0,0.0
70,20240124,6100,1031,5994,5012.62,2595.54,1895.21,521.86,0.0,83.87,0.1,53.04,Morning,0.8363,51.03,0.0
662,20240125,6040,1061,10000,7109.09,2953.14,2732.61,1423.34,0.0,85.31,0.05,53.3,Morning,0.7109,59.08,0.0
130,20240125,6059,1067,11421,7481.57,3332.47,2867.6,1281.5,0.0,86.09,0.05,56.44,Night,0.6551,68.97,0.0
414,20240126,6022,1107,7422,11317.34,8773.63,1569.68,974.04,0.0,90.95,0.38,58.06,Afternoon,1.5248,42.28,0.0
219,20240127,6013,1181,6455,5165.23,3290.22,1428.96,446.05,0.0,91.42,0.54,51.96,Afternoon,0.8002,45.68,0.0
510,20240127,6025,1089,7818,6849.45,4632.54,1742.35,474.56,0.0,86.51,0.3,49.54,Afternoon,0.8761,59.32,0.0
41,20240127,6050,1067,12455,8171.83,3566.47,3827.68,777.68,0.0,91.16,0.05,57.79,Morning,0.6561,100.0,0.0
389,20240127,6091,1165,6342,8685.0,6108.26,2100.03,476.7,0.0,84.07,0.38,61.42,Morning,1.3694,64.97,0.0
351,20240128,6006,1179,11706,14309.53,11493.18,2122.38,693.97,0.0,87.39,0.37,56.47,Afternoon,1.2224,58.04,0.0
587,20240128,6044,1194,3854,3495.46,1923.37,1151.58,420.51,0.0,87.45,0.57,50.9,Night,0.907,25.27,0.0
86,20240128,6086,1024,5619,5296.39,2473.92,2062.28,760.2,0.0,84.1,0.09,57.01,Morning,0.9426,53.12,0.0
267,20240130,6013,1108,9429,14136.31,11318.45,2104.23,713.64,0.0,88.12,0.37,59.24,Night,1.4992,66.72,0.0
883,20240130,6073,1004,4967,4175.95,2130.83,1545.55,499.56,0.0,87.01,0.1,53.55,Morning,0.8407,60.29,0.0
194,20240130,6081,1073,7128,5222.74,2159.66,2287.36,775.72,0.0,81.21,0.05,47.3,Afternoon,0.7327,90.94,0.0
169,20240131,6014,1045,9982,11848.05,9279.42,1537.44,1031.2,0.0,92.76,0.2,66.38,Morning,1.1869,73.16,0.0
195,20240131,6040,1088,7652,7142.53,4616.65,1655.77,870.11,0.0,86.7,0.27,50.52,Morning,0.9334,45.21,0.0
361,20240131,6045,1194,3884,3270.94,1897.15,1019.29,354.49,0.0,87.36,0.55,56.28,Afternoon,0.8422,19.97,0.0
