RetailID,DateKey,StoreID,ProductID,SKU_Availability_Pct,OOS_Rate_Pct,Cooler_Functional_Pct,Planogram_Compliance_Pct,Shelf_Share_Pct,Product_Placement,Price_Compliance,Promotion_Execution,Store_Audit_Score
1,20240330,9579,1088,94.99,4.63,96.39,91.3,11.94,Checkout,1,0,84.0
2,20240303,9738,1100,97.35,2.24,98.32,96.23,17.23,Bottom Shelf,1,1,90.0
3,20241025,9407,1182,93.06,6.32,96.48,94.27,20.87,Eye Level,1,1,88.0
4,20241222,9055,1194,94.09,6.39,97.62,92.56,12.21,Eye Level,1,1,87.0
5,20240621,9972,1197,95.11,4.24,98.66,96.05,17.58,Waist Level,1,1,89.0
6,20240823,9950,1073,99.9,0.1,99.9,98.09,10.18,Checkout,1,1,90.0
7,20240124,9994,1084,96.02,3.66,99.09,93.15,17.91,Top Shelf,1,1,89.0
8,20241104,9281,1006,99.05,0.96,99.9,95.91,15.28,Waist Level,1,1,90.0
9,20240221,9084,1097,94.59,3.38,99.1,94.51,13.94,Waist Level,1,1,88.0
10,20240708,9420,1081,98.62,1.23,99.9,99.9,16.29,Checkout,1,1,91.0
11,20240329,9295,1028,96.75,3.24,99.9,91.9,20.25,Waist Level,1,1,89.0
12,20240814,9857,1113,96.27,5.1,96.75,94.26,10.99,Bottom Shelf,1,1,88.0
13,20240921,9715,1036,98.04,2.23,99.9,93.14,13.86,Eye Level,1,1,89.0
14,20241124,9595,1050,95.47,3.39,99.9,92.16,14.85,Eye Level,1,1,88.0
15,20241110,9378,1088,95.76,2.2,99.65,94.41,8.18,Checkout,1,1,88.0
16,20240831,9773,1024,99.43,1.25,99.9,97.17,11.88,Top Shelf,1,0,87.0
17,20240323,9248,1164,99.9,1.97,99.45,93.74,17.84,Top Shelf,1,1,90.0
18,20241120,9144,1051,96.95,3.71,99.31,94.01,10.93,Waist Level,1,1,89.0
19,20241115,9976,1177,98.94,0.42,99.9,97.42,19.23,Checkout,1,1,91.0
20,20241017,9156,1042,97.47,1.66,99.9,98.71,16.19,Waist Level,1,1,91.0
21,20240220,9232,1073,99.9,1.16,99.9,98.56,15.84,Top Shelf,1,1,91.0
22,20240413,9698,1176,98.53,2.62,99.9,94.72,15.76,Top Shelf,1,1,90.0
23,20241005,9313,1075,99.54,1.78,99.9,94.69,14.98,Top Shelf,1,1,90.0
24,20240804,9677,1023,98.33,1.78,99.1,92.07,12.26,Waist Level,1,1,89.0
25,20240122,9829,1187,93.9,7.9,95.9,90.46,8.43,Eye Level,1,1,86.0
26,20240125,9365,1094,95.95,4.47,99.26,90.43,10.91,Checkout,1,1,87.0
27,20241201,9020,1111,96.82,0.86,99.9,98.87,13.89,Waist Level,1,1,90.0
28,20240608,9245,1183,94.8,6.07,97.95,92.08,12.82,Top Shelf,1,1,87.0
29,20241025,9185,1113,93.73,5.46,98.14,92.79,19.24,Top Shelf,1,1,88.0
30,20240921,10000,1052,99.9,0.1,99.9,99.72,17.84,Bottom Shelf,1,1,92.0
31,20240218,9238,1046,98.36,2.19,98.54,94.22,15.29,Bottom Shelf,1,1,89.0
32,20240726,9087,1095,98.14,4.38,98.91,92.53,21.33,Top Shelf,1,1,89.0
33,20241207,9961,1147,95.07,3.84,99.9,96.38,16.01,Bottom Shelf,1,1,89.0
34,20241227,9350,1131,99.9,1.41,99.9,99.13,13.45,Bottom Shelf,1,1,91.0
35,20240922,9370,1028,99.9,0.1,99.9,99.9,11.73,Bottom Shelf,1,1,91.0
36,20240813,9597,1181,92.43,6.25,98.15,92.11,14.09,Waist Level,1,1,87.0
37,20240628,9973,1032,97.1,0.93,99.9,94.46,16.53,Top Shelf,1,1,89.0
38,20240902,9035,1187,92.17,6.87,97.38,92.38,16.56,Waist Level,1,1,87.0
39,20240504,9044,1078,98.32,2.82,99.9,94.38,20.54,Bottom Shelf,0,1,89.0
40,20240329,9654,1146,93.32,5.08,99.9,94.53,11.51,Top Shelf,1,1,88.0
41,20241207,9944,1052,97.87,3.31,99.9,94.0,9.16,Bottom Shelf,1,1,89.0
42,20240405,9725,1007,95.52,2.78,99.9,91.93,11.78,Waist Level,0,1,87.0
43,20240102,9445,1186,91.91,7.15,97.32,91.39,13.64,Checkout,1,1,86.0
44,20240215,9555,1148,95.14,6.91,99.11,92.51,17.71,Top Shelf,1,1,88.0
45,20240520,9875,1199,93.09,6.17,98.08,92.22,13.67,Top Shelf,1,1,87.0
46,20240526,9858,1074,98.24,1.61,99.9,95.55,13.32,Bottom Shelf,1,1,90.0
47,20240616,9532,1030,99.9,0.31,99.9,98.05,15.29,Checkout,1,1,91.0
48,20241025,9730,1002,99.9,0.1,99.9,99.9,16.73,Waist Level,1,1,92.0
49,20240131,9674,1017,97.51,2.84,99.9,94.56,14.62,Top Shelf,1,1,89.0
50,20241018,9662,1166,97.5,1.2,99.9,97.54,15.81,Checkout,1,0,87.0
51,20240920,9254,1120,94.17,4.07,97.51,95.06,14.08,Eye Level,1,1,88.0
52,20240616,9905,1116,96.11,5.09,99.9,91.72,11.87,Top Shelf,1,1,88.0
53,20241120,9732,1141,95.8,3.72,99.9,97.17,14.12,Checkout,1,1,89.0
54,20240506,9024,1015,97.49,1.97,99.83,94.08,12.22,Waist Level,1,1,89.0
55,20240907,9553,1137,97.15,2.16,99.63,95.06,14.97,Bottom Shelf,1,1,89.0
56,20241003,9427,1086,96.87,3.86,97.98,92.88,16.63,Top Shelf,1,1,89.0
57,20240501,9125,1022,95.19,3.57,98.96,92.32,12.44,Checkout,1,1,88.0
58,20240802,9695,1014,96.12,3.34,99.9,91.85,21.89,Checkout,1,1,89.0
59,20241207,9988,1151,95.29,3.65,99.9,93.4,14.21,Eye Level,1,1,88.0
