Standing,Title,Release Year,IMDb Rating,Number of Votes,Runtime (minutes),Worldwide Gross (USD)
1,The Shawshank Redemption,1994,9.3,3127364,142.0,29334033
2,The Godfather,1972,9.2,2181939,175.0,250926102
3,The Dark Knight,2008,9.1,3102907,152.0,1009242873
4,The Godfather Part II,1974,9.0,1466909,202.0,48203923
5,12 Angry Men,1957,9.0,960641,96.0,2945
6,The Lord of the Rings: The Return of the King,2003,9.0,2124359,201.0,1139431705
7,Schindler's List,1994,9.0,1560094,195.0,322161245
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2160715,178.0,889476171
9,Pulp Fiction,1994,8.8,2389169,154.0,213928762
10,"Il buono, il brutto, il cattivo",1967,8.8,877261,178.0,25273906
11,The Lord of the Rings: The Two Towers,2002,8.8,1917814,179.0,938848691
12,Forrest Gump,1994,8.8,2444077,142.0,678226465
13,Fight Club,1999,8.8,2542217,139.0,101321009
14,Inception,2010,8.8,2757489,148.0,839786473
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1478416,124.0,550016086
16,The Matrix,1999,8.7,2206744,136.0,467845851
17,GoodFellas,1990,8.7,1363727,145.0,47076189
18,Interstellar,2014,8.7,2438293,169.0,771012321
19,One Flew Over the Cuckoo's Nest,1975,8.7,1141786,133.0,109129807
20,Se7en,1995,8.6,1974098,127.0,328983060
21,It's a Wonderful Life,1947,8.6,541277,130.0,10635987
22,The Silence of the Lambs,1991,8.6,1683110,118.0,272742922
23,Shichinin no samurai,1956,8.6,396501,207.0,1092319
24,Saving Private Ryan,1998,8.6,1608015,169.0,482352390
25,The Green Mile,1999,8.6,1528435,189.0,286801374
26,Cidade de Deus,2004,8.6,857626,130.0,30685656
27,La vita è bella,1997,8.6,798918,116.0,230099013
28,Terminator 2: Judgment Day,1991,8.6,1262836,137.0,517778573
29,Star Wars,1977,8.6,1544556,121.0,775398507
30,Back to the Future,1985,8.5,1420325,116.0,392976852
31,Sen to Chihiro no kamikakushi,2003,8.6,943432,124.0,360354951
32,The Pianist,2003,8.5,993982,150.0,120098945
33,Gladiator,2000,8.5,1811167,155.0,465516248
34,Gisaengchung,2019,8.5,1119990,132.0,262550310
35,Psycho,1960,8.5,774136,109.0,32262226
36,Hotaru no haka,1989,8.5,371028,88.0,4686642
37,The Lion King,1994,8.5,1234846,88.0,979161373
38,Seppuku,1964,8.6,87550,133.0,15222
39,The Departed,2006,8.5,1526516,151.0,292095942
40,Whiplash,2014,8.5,1117402,106.0,50431161
41,The Prestige,2006,8.5,1556313,130.0,109676311
42,American History X,1998,8.5,1255843,119.0,23875714
43,Léon,1994,8.5,1331594,110.0,20330788
44,Spider-Man: Across the Spider-Verse,2023,8.5,494156,140.0,690824738
45,Nuovo Cinema Paradiso,1990,8.5,312125,174.0,13502484
46,Casablanca,1943,8.5,646868,102.0,4739272
47,Intouchables,2011,8.5,1005771,112.0,426590315
48,The Usual Suspects,1995,8.5,1218694,106.0,23342724
49,Alien,1979,8.5,1045794,117.0,109501712
50,Modern Times,1936,8.5,281836,87.0,463618
51,Rear Window,1954,8.5,561356,112.0,37907089
52,Django Unchained,2012,8.5,1842534,165.0,426076540
53,C'era una volta il West,1969,8.5,379273,166.0,5435312
54,City Lights,1931,8.5,213893,87.0,55154
55,Apocalypse Now,1979,8.4,759344,147.0,105202228
56,WALL·E,2008,8.4,1294067,98.0,527403656
57,Memento,2001,8.4,1411551,113.0,40060108
58,Dune: Part Two,2024,8.4,684465,166.0,714844358
59,Raiders of the Lost Ark,1981,8.4,1096251,115.0,389925971
60,Avengers: Infinity War,2018,8.4,1335143,149.0,2052415039
61,Das Leben der Anderen,2007,8.4,438084,137.0,77672685
62,Spider-Man: Into the Spider-Verse,2018,8.4,763358,117.0,394884133
63,Sunset Blvd.,1950,8.4,257289,110.0,315914
64,Witness for the Prosecution,1958,8.4,158398,116.0,7903
65,Paths of Glory,1957,8.4,235039,88.0,8290
66,The Shining,1980,8.4,1200455,146.0,48059518
67,The Great Dictator,1941,8.4,256287,125.0,972212
68,Inglourious Basterds,2009,8.4,1739772,153.0,321460744
69,Aliens,1986,8.4,829383,137.0,131060248
70,12th Fail,2023,8.7,163184,147.0,138288
71,Tengoku to jigoku,1963,8.4,68773,143.0,64503
72,The Dark Knight Rises,2012,8.4,1958368,164.0,1115050227
73,Coco,2017,8.4,682746,105.0,823285838
74,Avengers: Endgame,2019,8.4,1406228,181.0,2799439100
75,Amadeus,1984,8.4,460922,160.0,52268382
76,Good Will Hunting,1998,8.3,1178632,126.0,225933435
77,Toy Story,1995,8.3,1150003,81.0,401157969
78,Kimi no Na wa.,2017,8.4,376534,106.0,405312768
79,Oldeuboi,2003,8.3,700875,,17617021
80,Das Boot,1982,8.4,284156,149.0,11489279
81,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,545983,95.0,9669969
82,Braveheart,1995,8.3,1146791,178.0,213216216
83,Mononoke-hime,1997,8.3,473463,133.0,33652542
84,American Beauty,1999,8.3,1266969,122.0,356296601
85,3 Idiots,2009,8.4,472210,170.0,60262836
86,Capharnaüm,2018,8.4,120922,126.0,64417003
87,Joker,2019,8.3,1655598,122.0,1078958629
88,C'era una volta in America,1984,8.3,402897,229.0,5476126
89,Singin' in the Rain,1952,8.3,278317,103.0,2105754
90,Idi i smotri,1985,8.3,118413,142.0,20929648
91,Requiem for a Dream,2000,8.3,958423,102.0,7391471
92,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1189346,131.0,482466382
93,Toy Story 3,2010,8.3,952261,103.0,1067316101
94,Jagten,2012,8.3,399942,115.0,15886373
95,Ikiru,1956,8.3,100081,143.0,114026
96,Eternal Sunshine of the Spotless Mind,2004,8.3,1161572,108.0,73068668
97,Incendies,2011,8.3,241011,131.0,6804715
98,The Apartment,1960,8.3,214506,125.0,18783770
99,Lawrence of Arabia,1962,8.3,336135,227.0,46000297
100,2001: A Space Odyssey,1968,8.3,769674,149.0,67937964
101,Reservoir Dogs,1992,8.3,1153914,99.0,2942225
102,Scarface,1983,8.3,994162,170.0,66443303
103,Heat,1995,8.3,782232,170.0,187436818
104,Double Indemnity,1944,8.3,178529,107.0,21900
105,Up,2009,8.3,1211258,96.0,735103954
106,North by Northwest,1959,8.3,365911,136.0,199007
107,M - Eine Stadt sucht einen Mörder,1931,8.3,180576,99.0,35566
108,Full Metal Jacket,1987,8.2,838454,116.0,50875563
109,Citizen Kane,1941,8.2,488750,119.0,1711106
110,Taare Zameen Par,2007,8.3,227386,162.0,21897373
111,Le fabuleux destin d'Amélie Poulain,2002,8.3,830172,122.0,175424055
112,Vertigo,1958,8.2,453609,128.0,7974114
113,Jodaeiye Nader az Simin,2011,8.3,274499,123.0,22926076
114,Die Hard,1988,8.2,1007958,132.0,143651650
115,To Kill a Mockingbird,1963,8.3,348104,129.0,611817
116,Indiana Jones and the Last Crusade,1989,8.2,852817,127.0,474171806
117,The Sting,1973,8.2,296367,129.0,156003978
118,A Clockwork Orange,1972,8.2,925821,136.0,27162035
119,Metropolis,1927,8.3,198332,153.0,1353679
120,Snatch,2001,8.2,962834,102.0,83558617
121,1917,2020,8.2,751578,119.0,446064352
122,L.A. Confidential,1997,8.2,651344,138.0,126216940
123,Oppenheimer,2023,8.3,960220,,975811333
124,Der Untergang,2005,8.2,395406,156.0,92181574
125,Ladri di biciclette,1949,8.2,189991,89.0,458962
126,Dangal,2016,8.3,235691,161.0,303726694
127,The Wolf of Wall Street,2013,8.2,1738969,,407039432
